ID,Energy
566,-145.112550901029
453,-145.112246059538
120,-145.112222950875
881,-145.112184907493
372,-145.112171276515
318,-145.112141822243
673,-145.112074596530
742,-145.111939853546
144,-145.111902827295
745,-145.111726288715
548,-145.111705845989
97,-145.111480993145
570,-145.111207827120
896,-145.111117713997
823,-145.111015591610
523,-145.110939567079
385,-145.110924684227
867,-145.110908096659
720,-145.110866784292
635,-145.110669626778
863,-145.110368496355
695,-145.110093754881
207,-145.110060836610
622,-145.109981942673
902,-145.109979001469
423,-145.109711432124
393,-145.109689690776
124,-145.109626733021
936,-145.109446534024
426,-145.109410546945
771,-145.109161051020
761,-145.108945420751
234,-145.108851118072
76,-145.108756205655
440,-145.108706782293
222,-145.108368791057
906,-145.108281037363
822,-145.108251174756
355,-145.108183699173
980,-145.108098465965
221,-145.108080770024
811,-145.107963746276
35,-145.107920821967
716,-145.107877341179
637,-145.107646687158
914,-145.107643318550
575,-145.107542473885
211,-145.107181245589
699,-145.106943052979
37,-145.106860862630
676,-145.106658419530
564,-145.106594986177
492,-145.106440508317
889,-145.106170025125
438,-145.106141449115
486,-145.105992968228
24,-145.105902017848
961,-145.105861634902
975,-145.105859786711
844,-145.105755533145
646,-145.105583729561
733,-145.105583035108
335,-145.105020857232
848,-145.104605206342
87,-145.104446850391
963,-145.104445377930
265,-145.104412434205
297,-145.104379895367
557,-145.104231980334
854,-145.104214747743
680,-145.104124545753
595,-145.104058236623
399,-145.104041988365
729,-145.103815996690
204,-145.103528233522
329,-145.103461867747
304,-145.103430710049
770,-145.103366160699
224,-145.103282229226
171,-145.103259197338
194,-145.103146837588
491,-145.103084154836
861,-145.102898726882
604,-145.102537951407
817,-145.102500679765
117,-145.102102920368
728,-145.102081161028
489,-145.101814897492
508,-145.101646795557
189,-145.101306428918
542,-145.101227452677
663,-145.101158259990
44,-145.101122036530
331,-145.100945249732
296,-145.100925151860
939,-145.100880039933
992,-145.100825272911
342,-145.100729532926
780,-145.100608616099
540,-145.100426295233
317,-145.100306536543
41,-145.100052185727
351,-145.099809984345
324,-145.099784572794
352,-145.099670308418
512,-145.099543332985
849,-145.099418113783
315,-145.099052466856
428,-145.098876864189
98,-145.098730939000
910,-145.098598642329
354,-145.098586166231
495,-145.098496700289
550,-145.098482850037
970,-145.098274166161
779,-145.098207020121
141,-145.097964127859
928,-145.097911988598
280,-145.097559569916
367,-145.097512140255
154,-145.097480334116
63,-145.097402775189
833,-145.097147268474
160,-145.096959191628
517,-145.096026206224
424,-145.096001151980
711,-145.095802081893
167,-145.095423153010
948,-145.095293748740
841,-145.095283978293
937,-145.095278777254
541,-145.095252167605
313,-145.094758592698
614,-145.094556021087
515,-145.094415507970
974,-145.094373550162
510,-145.094364488966
261,-145.094187729677
14,-145.094175446154
529,-145.094120600337
619,-145.093905540582
600,-145.093889298567
252,-145.093608876925
223,-145.093568532316
247,-145.093555690695
843,-145.093436671207
398,-145.093408501836
40,-145.093327128871
500,-145.093283381449
10,-145.093121302720
821,-145.092909943739
7,-145.092341270031
775,-145.092338772375
626,-145.091774679929
717,-145.091018260372
875,-145.090380838002
362,-145.090376451028
299,-145.090354290439
969,-145.090100808184
353,-145.089885871489
748,-145.089884611126
978,-145.089883161300
502,-145.089707654314
427,-145.089641596838
938,-145.089615743017
145,-145.089612762899
457,-145.089591333705
276,-145.089201363924
